Geography,Definition,Note,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Afghanistan,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,64.868,71.582,76.439,83.074,105.021,97.868,100,111.804,119.006,127.795,133.768,132.883,138.709,145.611,146.522,149.896,–
Albania,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,37.802,40.743,45.961,61.174,73.808,74.119,74.16,76.438,80.401,82.318,84.696,86.663,88.741,91.3,94.4,96.518,100,103.392,105.509,107.566,109.333,111.41,112.845,114.972,117.28,118.966,120.873
Algeria,The consumer price index rebased to 2010=100 by the EIU," As of May 2019, long term forecast (2026-2050) have been revised to take into account the economic impact of climate change ",5.933,6.803,7.248,7.681,8.304,9.174,10.309,11.077,11.731,12.823,14.958,18.83,24.794,29.887,38.568,50.053,59.403,62.809,65.918,67.662,67.891,70.76,71.764,73.616,76.241,79.094,80.914,84.07,87.782,95.981,100,105.739,115.995,120.759,125.429,130.949,138.539,146.755,151.903,155.491,158.724
Angola,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,0,0,0.001,0.03,0.095,0.197,0.685,2.909,7.347,15.348,30.424,43.671,53.695,60.839,68.293,76.813,87.359,100,113.482,125.146,136.131,146.042,159.405,208.336,270.512,323.576,378.852,463.228
Anguilla,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,51.5,53.9,55.2,57.5,59.5,60.4,62.5,62.6,64.2,65.3,68.4,71.5,71.9,74.2,77.5,81,87.9,91.8,98.6,97.9,100,104.7,106.2,106.4,106.1,105.1,104.5,105.9,106.3,107.1,106.6
Antigua & Barbuda,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,–,79.568,80.464,81.08,82.219,84.199,85.878,87.621,89.461,91.059,92.349,97.274,96.74,100,103.456,106.951,108.083,109.263,110.319,109.782,112.448,113.809,115.436,116.2
Argentina,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,0.002,0.002,0.002,0.01,0.326,7.872,21.386,26.711,29.545,30.779,31.818,31.868,32.036,32.332,31.955,31.655,31.318,39.42,44.719,46.693,51.195,56.775,61.788,69.431,81.385,100,124.418,155.886,192.426,265.703,336.217,475.375,601.284,807.387,1239.729,1760.602
Armenia,The consumer price index rebased to 2010=100 by the EIU,,–,–,–,–,–,–,–,–,–,–,–,–,0.027,0.317,16.05,44.289,52.563,59.901,65.096,65.518,65,67.045,67.756,70.955,75.892,76.378,78.584,82.052,89.395,92.44,100,107.65,110.404,116.796,120.278,124.766,123.015,124.208,127.338,129.176,130.741
Aruba,The consumer price index rebased to 2010=100 by the EIU,,31.984,35.883,38.073,39.144,39.975,41.452,41.915,43.441,44.797,46.584,49.303,52.041,54.055,56.877,60.451,62.514,64.495,66.434,67.673,69.212,72.032,74.109,76.567,79.365,81.373,84.137,87.175,91.872,100.104,97.965,100,104.375,104.971,102.481,102.914,103.401,102.44,101.386,105.062,109.199,107.766
Australia,The consumer price index rebased to 2010=100 by the EIU,,27.419,30.047,33.429,36.785,38.241,40.817,44.511,48.309,51.795,55.697,59.781,61.681,62.331,63.398,64.646,67.638,69.407,69.563,70.161,71.202,74.376,77.653,79.969,82.18,84.079,86.342,89.412,91.493,95.473,97.164,100,103.304,105.125,107.7,110.38,112.045,113.45,115.713,117.872,119.797,120.812
