Geography,Definition,Note,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Afghanistan,"National currency per US$, period average. ",,34.37,38.5625,39.28,39.28,39.28,39.28,39.28,39.28,39.28,39.28,39.28,39.28,39.28,39.28,38.818333,36.5675,47.5,47.5,47.5,46.621667,47.356667,47.496667,47.26,48.763333,47.845833,49.495,49.926667,49.9625,50.249167,50.325,46.4525,46.7475,50.921667,55.3775,57.2475,61.143333,67.865833,68.025833,72.083333,77.738333,76.815,–
Albania,"National currency per US$, period average. ",,–,–,–,–,–,–,–,–,–,–,–,–,74.333333,102.0625,94.675,92.79,104.5,148.933333,150.635833,137.52,143.708333,143.483333,140.155,121.865,102.776667,99.870833,98.103333,90.4275,83.894167,94.979167,103.936667,100.895833,108.183333,105.669167,105.48,125.961667,124.1425,119.1,107.989167,109.850833,108.65,103.52
Algeria,"National currency per US$, period average.","Break in series: IFS Data to 2007 only. As of May 2019, long term forecast (2026-2050) have been revised to take into account the economic impact of climate change ",3.83745,4.315808,4.592192,4.7888,4.983375,5.0278,4.702317,4.849742,5.914767,7.608558,8.957508,18.472875,21.836075,23.345408,35.0585,47.662733,54.748933,57.70735,58.738958,66.573875,75.259792,77.215025,79.6819,77.394975,72.06065,73.276308,72.646617,69.2924,64.642725,72.496375,73.835092,73.050308,77.607875,79.5894,80.569917,100.373392,109.370125,110.891767,116.605633,119.436508,126.754675,135
Angola,"National currency per US$, period average.  Line rf of IFS.",Exchange rate converted to reflect introduction of new Kwanza in December 1999 at the rate of 1 million readjusted kwanzas to one kwanza.,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000003,0.00005,0.002758,0.128033,0.22905,0.392825,2.7907,10.040542,22.057867,43.530208,74.606308,83.541367,87.15915,80.368083,76.706133,75.033358,79.328167,91.905725,93.93475,95.46795,96.518283,98.302417,120.060692,163.656433,165.915942,252.85575,364.825817,578.258775,631.441967
Anguilla,"National currency per US$, period average. ",,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Antigua & Barbuda,"National currency per US$, period average. ",,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7,2.7
Argentina,"National currency per US$, period average.",,0,0,0,0.000001,0.000006,0.000059,0.000093,0.000213,0.000874,0.042335,0.48759,0.953555,0.990642,0.998946,0.999008,0.99975,0.999663,0.9995,0.9995,0.9995,0.9995,0.9995,3.063257,2.900629,2.923301,2.903658,3.054313,3.095649,3.144164,3.710108,3.896294,4.110139,4.536934,5.459352,8.075277,9.233185,14.758177,16.562707,28.094992,48.147892,70.539167,94.990742
Armenia,"National currency per US$, period average. ",,–,–,–,–,–,–,–,–,–,–,–,–,1.114444,9.105,288.650833,405.908333,414.040833,490.846667,504.915,535.0625,539.521667,555.076667,573.3525,578.7625,533.451667,457.6875,416.039167,342.078333,305.969167,363.283333,373.660833,372.501667,401.764167,409.625,415.918333,477.918333,480.488333,482.716667,482.9875,480.445,489.009167,503.77
Aruba,"National currency per US$, period average.",,–,–,–,–,–,–,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79,1.79
Australia,"National currency per US$, period average.",,0.877501,0.869836,0.983244,1.108197,1.13729,1.427399,1.490331,1.427059,1.275809,1.261445,1.280943,1.284054,1.36076,1.47149,1.366929,1.349512,1.277506,1.344809,1.588268,1.549427,1.719493,1.934485,1.839334,1.533017,1.35719,1.311533,1.326935,1.192333,1.173342,1.262307,1.086514,0.968179,0.965111,1.032596,1.107747,1.329124,1.344176,1.303838,1.337047,1.43797,1.448383,1.330333
