Exports to,1980 *y,.DESC,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
US,X534T111,India: Exports to U.S. (Mil.US$),967.03,769.12,978.99,1296.12,1450.68,1563.34,1777.69,2114.01,2513.05,4423.51,2693.68,2922.27,3533.24,3885.08,4660.5,5304.65,6184.49,6742.38,7102.75,8099.95,9083.25,8318.85,10308.34,11363.89,12839.27,16475.21,18515.46,20285.37,22418.45,18280.02,23611.47,33359.49,36195.99,38710.93,42495.62,40400.33,41950.54,46065.27,51614.04,54221.27,49320.6
UK,X534T112,India: Exports to U.K. (Mil.US$),528.75,385.05,449.77,461.16,538.03,433.21,512.38,708.37,849.12,1200.98,1109.02,1136.74,1333.19,1265.2,1532.92,1880.77,2011.01,2120.18,1928.38,1990.33,2233.05,2165.65,2412.84,2892.29,3414.68,4714.85,5478.64,6428.42,6989.08,6182.83,6421.5,8788.65,8270.5,9624.96,9676.97,8902.02,9022.2,9026.43,9782.99,8805.82,7767.62
Austria,X534T122,India: Exports to Austria (Mil.US$),10.9,6.28,11.32,11.97,12.31,12.74,18.79,26.42,33.28,94.48,84.63,61.47,72.02,77.28,89.92,90.19,83.93,87.5,79.5,75.8,79.55,79.79,79.92,100.06,110.5,128.64,132.08,170.33,488.01,258.15,713.14,681.66,320.64,345.83,367.78,330.02,379.79,437.35,478.68,459.89,442.98
Belgium,X534T124,India: Exports to Belgium (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,1184.8,1269.8,1347.75,1444.88,1382.69,1594.03,1769.75,2283,2780.85,3323.64,4024.87,4853.13,3450.48,5028.33,7781.07,5603.71,6327.51,5884.92,5022.79,5361.33,6215.33,6816.82,6181.58,4565.32
Denmark,X534T128,India: Exports to Denmark (Mil.US$),34.98,26.52,34.39,37.13,39.49,30.75,31.92,38.71,46.48,76,78.07,78.59,89.4,87.56,108.67,146.84,139.81,157.13,179.68,204.95,183.58,152.75,175.71,227.34,276.01,384.15,445.94,486.38,582.04,577.69,627.77,784.9,705.98,756.25,747.36,677.2,699.45,760.62,745.55,752.36,698.43
France,X534T132,India: Exports to France (Mil.US$),203.96,133.26,165.33,146.08,155.57,161.64,198.81,256.39,305.01,523.71,421.73,421.24,490.56,484.89,544.89,682.84,709.79,752.88,818.73,890,998.9,982.12,1053.84,1243.46,1538.27,1995.85,2119.67,2508.96,3150.67,3225.98,4912.14,4909.93,5081.61,5190.01,5095.29,4828.6,4864.37,5032.52,5286.24,5432.79,4363.55
Germany,X534T134,India: Exports to Germany (Mil.US$),494.25,327.65,368.41,373.57,416.13,401.46,524.91,742.75,909.72,1226.99,1351.87,1271.08,1441.49,1526.52,1585.89,1841.41,1857.05,1916.05,1869.85,1766.78,1865.3,1758.36,2027.1,2435.08,2619.21,3396.15,3881.19,4832.18,6347.37,5451.1,5997.47,8247.68,7258.05,7426.8,7745.64,7033.87,7174.13,8241.53,8972.85,8571.39,7656.98
Italy,X534T136,India: Exports to Italy (Mil.US$),213.47,153.45,150.91,151.13,179.82,168.52,198.58,349.95,405.53,569.54,499.34,580.73,655.04,570.87,767.76,973.83,913.45,1069.83,1070.05,1103.6,1261.55,1253.72,1319.44,1636.32,2052.97,2460.78,3316.93,3829.38,4135.31,3237.58,4197.86,5068.49,4307.34,5098.69,5365.8,4241.94,4488.89,5628.73,5533.99,5188.63,4347.92
Luxembourg,X534T137,India: Exports to Luxembourg (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,3.2,3.65,5,5.55,5.32,7.97,12.93,11.66,10.91,15.51,13.03,13.97,4.02,19.3,8.23,8.48,11.4,9.32,8.89,10.46,11.36,14.06,36.46,11.94
Netherlands,X534T138,India: Exports to Netherlands (Mil.US$),201.59,127.42,106.43,167.92,192.14,133.11,161.29,202.25,253.02,218.73,298.43,373.18,418.03,457.55,535.01,711.07,838.77,815.95,773.58,855.23,881.53,847.63,1001.9,1228.81,1460.82,2257.3,2621.34,4586.72,6458.7,6407.17,6578.59,9733.99,10013.66,8590.68,6734.02,4923.93,4834.04,5431.74,8653.98,8930.79,6261.19
Norway,X534T142,India: Exports to Norway (Mil.US$),11.33,10.72,8.11,9.16,9.63,9.24,13.42,16.53,18.84,36.35,30.17,44.17,49.95,45.77,57.21,63.34,64.81,77.03,60.98,52.35,58.13,54.68,66.69,74.47,93.89,123.61,170.08,243.88,468.25,222.74,187.64,320.4,241.29,225.19,244,541.23,234.4,344.14,301.86,428.07,310.31
Sweden,X534T144,India: Exports to Sweden (Mil.US$),37.35,30.22,32.82,26.93,32.41,31.79,39.45,55.77,64.4,101.16,85.93,92.45,112.23,97.31,133.01,141.34,149.27,162.53,153.75,147.28,168.78,160.57,170.78,208.98,226.13,305.24,372.14,504.48,607.69,443.71,582.22,791.45,705.56,714.45,766.41,695.21,707.46,754.16,786.76,759.89,701.9
Switzerland,X534T146,India: Exports to Switzerland (Mil.US$),153.91,72.29,107.11,125.8,96.96,83.49,110.94,149.94,177.9,174.28,217.45,219.41,220.59,206.57,228.4,264.83,289.87,350.78,331.23,345.13,416.73,419.99,389.32,433.53,503.87,495.23,470.37,578.17,770.95,619.89,619.12,1007.43,1159.44,1713.66,1129.26,944.58,1035.1,994.97,1236.98,1279.81,1247.87
Canada,X534T156,India: Exports to Canada (Mil.US$),77.3,63.34,60.96,79.44,77.3,112.41,110.22,117.19,140.69,180.03,159.73,188.21,207.72,212.59,251.68,291.86,317.68,413.15,463.05,551.98,636.95,569.63,669.9,746.96,802.92,982.88,1088.19,1226.54,1414.89,1139,1253.32,1886.85,2020.28,2130.75,2169.58,2092.97,1824.42,2319.55,2793.65,2897.34,2812.15
Japan,X534T158,India: Exports to Japan (Mil.US$),775.83,557.07,909.6,834.23,826.65,920.61,1017.31,1198.49,1420.58,2136.67,1656,1653.96,1522.83,1656.54,1923.53,2130.4,2077.97,1925.35,1713.63,1677.05,1767.23,1532.13,1775.63,1747.97,1910.52,2392.92,2767.34,3606.01,3618.34,3186.04,4812.81,5663.55,6697.23,6763.65,5732.29,4734.94,3827.25,4503.71,4742.6,4817.74,4043.29
Finland,X534T172,India: Exports to Finland (Mil.US$),6.1,5.69,7.06,4.42,5.44,5.59,7.92,12.3,14.96,24.33,62.49,51.97,45.46,26.12,41.3,46.37,56.89,57.2,71.98,62.58,58.2,71.05,70.79,101.24,129.97,189.41,196.91,228.19,275.99,200.07,237.86,301.3,313.47,417.57,357.08,244.14,263.18,286.23,262.37,267.21,267.03
Greece,X534T174,India: Exports to Greece (Mil.US$),10.93,16.9,9.94,10.83,5.86,6.59,9.33,11.07,13.84,18.29,26.76,29.98,40.9,49.67,61.4,93.93,96.68,93.45,125.35,101.43,107.6,109.67,138.16,187.2,267.41,499.65,645.4,566.15,761.9,647.01,321.13,792.43,357.87,334.33,365.93,319.28,354.58,423.15,490.17,451.75,454.29
Iceland,X534T176,India: Exports to Iceland (Mil.US$),0.17,0.09,0.19,0.26,0.12,0.11,0.16,0.39,0.54,1.23,0.3,0.41,0.67,0.42,1.26,1.65,2.67,5.58,4.68,3.28,5.18,4.94,7.44,15.27,13.71,13.02,11.88,13.2,14.37,13.58,85.82,31.15,26.32,20.98,20.36,18.74,19.86,5.87,18.92,19.05,11.85
Ireland,X534T178,India: Exports to Ireland (Mil.US$),18.35,11.4,10.63,9.3,12.85,9.06,11.13,12.28,15.18,38.81,23.69,22.54,25.4,21.74,31.22,46.28,54.22,65.03,67.28,76.93,97.42,97.83,127.45,147.15,180.21,262.82,239.31,291.95,440.91,278.08,265.32,334.72,398.77,400.75,725.99,544.82,496.24,517.75,538.41,546.77,542.89
Malta,X534T181,India: Exports to Malta (Mil.US$),1.12,0.91,0.53,0.44,0.78,0.15,0.11,0.13,0.42,4.63,9.22,3.17,7.33,6.64,5.6,10.11,6.15,11.83,7.9,22.68,14.93,10.89,27.22,96.54,52.96,98.85,75.76,40.97,72.16,482.71,993.89,847.18,299.13,202.47,401.88,325.87,109.75,205.22,196.91,239.16,315.87
