Imports from,1980 *y,.DESC,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
US,M534F111,India: Imports [cif] from U.S. (Mil.US$),1865.21,1370.1,1562.23,1704.06,1481.74,1769.89,1429.76,1503.12,1855.79,2309.52,2634.84,1891.19,2258.25,2170.66,2431.74,3343.91,3186.86,3709.15,3659.6,3582.9,3152.25,3058.88,4129.41,4890.38,5981.21,8848.42,11172.88,18708.4,18628.01,16643.61,19135.63,23454.08,25141.62,23479.82,21234.25,20701.16,20574.52,24064.04,33003.03,34951.02,26615.67
UK,M534F112,India: Imports [cif] from U.K. (Mil.US$),953.53,790.71,976.21,927.44,1001.91,927.15,1176.46,1447.19,1660.22,1650.13,1664.49,1185.53,1393.09,1458.59,1470.63,1683.06,1947.86,2366.38,2577.18,2685.75,3052.78,2732.62,2723.57,3120,3382.09,3839.27,4113.43,4758.44,6250.96,3978.86,5181,7475.92,6488.51,6500.78,4785.48,5384.15,3865.69,4333.71,7047.64,6880.21,4710.85
Austria,M534F122,India: Imports [cif] from Austria (Mil.US$),34,32.82,34.5,29.6,30.56,28.25,51.1,59.68,69.49,102.7,224.36,68.85,104.27,46.44,51.64,71.76,124.19,95.85,64.98,64.85,68.63,71.78,142.61,192.31,245.57,323.6,427.71,553.04,727.4,778.54,786.4,1027.42,957.09,846.67,854.27,782.92,905.92,895.55,768.93,658.05,580.62
Belgium,M534F124,India: Imports [cif] from Belgium (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,2564,2824.63,3480.18,3072.83,2481.07,3474.7,3909.9,4418.69,4691.08,4287.66,4303.98,5433.96,5311.12,7461.67,10394.91,10280.79,10560.23,11293.68,8363.93,7481.6,5957.69,9489.27,9354.52,6623.54
Denmark,M534F128,India: Imports [cif] from Denmark (Mil.US$),26.32,14.32,20.21,19.46,34.24,36.65,76.01,47.66,46.04,41.93,67.22,57.72,80.29,95.46,123.78,276.73,145.24,114.53,97.48,126.48,140.72,120.91,137.67,205.04,251.08,454.51,384.11,433.19,512.39,597.16,441.84,599.19,534.04,490.43,453.45,412.94,492.96,519.62,554.25,620.27,574.42
France,M534F132,India: Imports [cif] from France (Mil.US$),329.92,251.84,340.95,343.38,321.23,459.21,515.6,585.18,630.86,490.01,718.07,579.79,636.35,613.13,488.66,696.46,781.64,790.63,739.53,719.78,661.05,763.04,1031.97,1092.23,1311.42,3562.85,4192.89,5756.05,4712.8,4113.14,3827.73,4152.08,4914.94,3904.48,3698.85,3439.66,3621.49,5859.43,4317.29,4125.69,2996.35
Germany,M534F134,India: Imports [cif] from Germany (Mil.US$),836.42,910.7,996.47,884.33,1166.67,1257.51,1365.42,1583.38,1740.68,1472.7,1835.69,1551.34,1907.09,1587.41,1899.19,2712.84,2738.36,2604.38,2237.73,1916.38,1780.1,1885.04,2310.42,2790.05,3630.87,5521.56,7165.65,9288.84,11919.84,10721.63,11471.57,15274.87,14649.82,13543.4,12704.4,11895.47,11485.2,12808.69,13988.65,12912,9684.43
Italy,M534F136,India: Imports [cif] from Italy (Mil.US$),311.06,240.46,282.75,211.02,293.46,265.14,310.86,423.31,421.53,563.04,568.56,403.68,519.08,538.1,605.98,888.23,1073.89,938.13,1046.65,823.03,726.35,724.28,785.19,1006.27,1259.84,1735,2469.74,3592.27,4769.01,3573.54,4310.88,5220.2,4783.89,4242.89,4340.31,4113.89,3843.33,4377.43,5304.72,4708.02,3695.12
Luxembourg,M534F137,India: Imports [cif] from Luxembourg (Mil.US$),#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,4.8,2.08,2.18,4.53,7.35,16.18,38.13,18.35,14.5,27.92,34.83,26.33,27.43,37.3,58.88,47.56,42.63,38.4,176.68,47.99,49.07,119.82,65.41,39.18
Netherlands,M534F138,India: Imports [cif] from Netherlands (Mil.US$),244.87,282.47,274.12,239.07,303.85,292.07,258.62,353.25,381.92,431.06,405.92,260.8,374.51,390.61,339.93,455.8,547.86,457.4,459.45,469.23,445.85,518.22,405.92,498.11,703.09,985.03,1129.72,1728.85,2099.04,1862.97,2031.43,2184.52,2780.22,2937.08,2656.39,1936.21,1788.41,2316.06,3653.81,3747.89,2961.58
Norway,M534F142,India: Imports [cif] from Norway (Mil.US$),63.69,39.45,25.51,21.47,37.37,50.79,35.66,57.18,61.61,38.18,33.25,26.6,31.78,31.85,44.09,44.21,47.68,86.18,74.18,48.83,45.85,45.67,84.71,251.5,221.69,275.78,645.37,1410.15,1634.09,963.57,958.76,835.78,923.8,655.86,842.48,830.21,644.86,730.18,455.58,621.54,498.05
Sweden,M534F144,India: Imports [cif] from Sweden (Mil.US$),97.8,94.31,88.3,83.08,127.7,118.18,235.46,223.95,264.08,135.58,187.11,162.62,170.18,148.1,254.95,226.92,346.33,298.78,218.78,229.23,238.38,322.52,488.72,653.48,862.57,1113.48,1742.72,2081.2,2180.66,1601.78,1473.08,2037.91,1748.53,1673,1743.33,1586.99,1191.4,1397.21,1363.26,1173.48,950.5
Switzerland,M534F146,India: Imports [cif] from Switzerland (Mil.US$),150.43,118.11,115.67,124.76,158.63,135.65,241.76,186.22,202.68,184.88,215.43,151.82,320.17,451.93,590.49,786.9,929.32,2262.35,2866.98,2683.88,3019.5,3419.57,2465.09,3067.09,5191.62,6402.56,8482.03,9655.23,13047.78,10222.32,22292.2,31567.73,30594.67,25797.48,21169.32,21085.77,14897.98,20415.02,18033.21,17761.6,11312.54
Canada,M534F156,India: Imports [cif] from Canada (Mil.US$),375.93,334.04,298.24,267.55,395.56,444.73,306.38,204.87,275.06,248.42,311.44,275.06,413.96,209.09,246.31,322.98,321.89,394.03,394.43,381.78,392.95,515.59,557.08,685.99,735.32,883.83,1563.02,1923.49,2584.28,2117.71,2072.21,2605.58,2811.51,3019.46,3763.26,3878.5,2778.13,4836.48,3499.65,3926.3,2744.68
Japan,M534F158,India: Imports [cif] from Japan (Mil.US$),815.07,880.4,1179.43,1265.12,1085.1,1363.56,1931.17,1741.74,1874.49,1493.71,1800.83,1364.3,1504.2,1376.47,1839.88,2234.33,2133.52,2155.53,2385.5,2518.28,2015.6,1756.17,1913.86,2459.84,2921.39,3854.61,4461.98,5891.33,8160.97,6385.9,8282.05,11196.34,12402.71,10540.97,9968.64,9638.08,9842.91,10469.42,12534.53,12746.15,10206.85
Finland,M534F172,India: Imports [cif] from Finland (Mil.US$),45.12,49.44,37.68,51,35.07,70.11,66.71,58.1,71.93,85.94,77.38,73.39,67.65,63.15,93.66,110.04,211.08,181.8,177.45,148.6,190.25,158.48,189.77,252.32,350.31,534.81,603.21,847.3,1140.27,1109.39,1395.94,1976.81,1399.87,955.41,1071.63,990.95,932.39,1272.95,1338.06,714.51,680.78
